id,name,tvg_name,group,source,source_id,method,score,programmes
CatholicFaithNetwork.us@SD,CFN Catholic Faith Network (720p),,Religious,EPGShare US2,CFN.CATHOLIC.FAITH.NETWORK.us2,fallback-exact-normalized-name,95,170
Charge.us@SD,Charge! (1080p),,Movies,IPTV-EPG.org US,Charge!.us,primary-exact-normalized-name,95,195
CheersPlusFrasier.us@SD,Cheers + Frasier,,Comedy,IPTV-EPG.org US,Cheers+Frasier.pluto,primary-exact-id-base,94,58
Choppertown.us@SD,Choppertown (720p),,Auto;Series,IPTV-EPG.org US,Choppertown.us,primary-exact-normalized-name,95,325
CineAdrenalina.us@SD,Cine adrenalina,,Movies,IPTV-EPG.org US,Cineadrenalina.pluto,primary-exact-id-base,94,16
CineAmor.us@SD,Cine Amor,,Movies,IPTV-EPG.org US,CineAmor.pluto,primary-exact-id-base,94,14
Cineaventura.us@SD,Cine aventura,,Entertainment,IPTV-EPG.org US,Cineaventura.pluto,primary-exact-id-base,94,14
Cineenespanol.us@SD,Cine en español,,Entertainment,IPTV-EPG.org US,Cineenespañol.pluto,primary-exact-id-base,94,14
CineMexicano.us@SD,Cine Mexicano (1080p),,Movies,EPGShare US2,Cine.Mexicano.US.Feed.us2,fallback-exact-normalized-name,95,68
CinePremiere.us@SD,Cine Premiere,,Movies,IPTV-EPG.org US,CinePremiere.pluto,primary-exact-id-base,94,15
CineRomantico.us@SD,Cine Romantico (720p),,Movies,EPGShare Plex,plex.tv.Cine.Romántico.plex,fallback-exact-normalized-name,95,58
CineSony.us@SD,Cine Sony (1080p),,Movies,IPTV-EPG.org US,CineSONY.us,primary-exact-normalized-name,95,100
CineTerror.us@US,Cine terror,,Movies,IPTV-EPG.org US,Cineterror.pluto,primary-exact-id-base,94,16
CinemaxLatino.us@SD,"like Gecko) Chrome/130.0.0.0 Safari/537.36"" group-title=""Undefined"",Cinemax Latino (480p)",,Undefined,IPTV-EPG.org US,CinemaxSpanish.us,primary-exact-normalized-name,95,88
CinevaultWesterns.us@SD,Cinevault Westerns (540p) [Geo-blocked],,Classic,IPTV-EPG.org US,CINEVAULTWesterns.us,primary-exact-normalized-name,95,104
ClassicCinema.us@SD,Classic Cinema (240p) [Not 24/7],,Movies,IPTV-EPG.org US,ClassicCinema.us,primary-exact-normalized-name,95,76
ClassicMovieWesterns.us@SD,Classic Movie Westerns,,Movies;Series,IPTV-EPG.org US,ClassicMovieWesterns.pluto,primary-exact-id-base,94,14
ClassicMoviesChannel.us@SD,Classic Movies Channel,,Movies,IPTV-EPG.org US,ClassicMoviesChannel.pluto,primary-exact-id-base,94,13
ClassicTVComedy.us@SD,Classic TV Comedy,,Comedy,IPTV-EPG.org US,ClassicTVComedy.pluto,primary-exact-id-base,94,57
ClassicTVCrimeDrama.us@SD,Classic TV Crime Drama,,Classic,IPTV-EPG.org US,ClassicTVCrimeDrama.pluto,primary-exact-id-base,94,29
