id,name,tvg_name,group,reason
DidgahTV.us@SD,Didgah TV (576p),,News,no-safe-match
DistrictofColumbiaNetwork.us@SD,District of Columbia Network (DCN) (1080p),,Legislative,no-safe-match
Docurama.us@SD,Docurama (1080p),,Documentary,no-safe-match
DrGeneScott.us@SD,Dr. Gene Scott (1080p),,Religious,no-safe-match
DuckHuntingTV.us@SD,Duck Hunting TV (1080p),,Outdoor,no-safe-match
DungeonTV.us@SD,Dungeon TV (720p),,Undefined,no-safe-match
EBSCinema.us@SD,EBS Cinema (720p),,Movies,no-safe-match
EBSMusika.us@SD,EBS Musika (720p),,Music,no-safe-match
ElSembradorNuevaEvangelizacionESNE.us@SD,El Sembrador Nueva Evangelizacion ESNE,,Religious,no-safe-match
ElbesharaGTV.us@SD,Elbeshara GTV (1080p) [Not 24/7],,Religious,no-safe-match
EntrepreneurTV.us@SD,EntrepreneurTV (720p),,Business,no-safe-match
EscambiaCountyTV.us@SD,Escambia County TV ECTV (Escambia County FL) (720p),,Legislative,no-safe-match
ESPNDeportes.us@SD,ESPN Deportes (720p),,Sports,matched-but-zero-programmes
ESPNU.us@SD,ESPNU (720p),,Sports,matched-but-zero-programmes
EWTN.us@English,EWTN (720p) [Geo-blocked],,Religious,matched-but-zero-programmes
ExtremaTV.us@SD,Extrema TV (720p),,Undefined,no-safe-match
CityofFairfieldChannel26.us@SD,Fairfield Government Access Channel 26 (Fairfield CA) (720p) [Geo-blocked],,General,no-safe-match
FashionFinds.us@SD,Fashion Finds (720p),,Lifestyle;Shop,no-safe-match
FCPublicMedia.us@SD,FC Public Media (Fort Collins CO) (1080p),,General,no-safe-match
FernandinaBeachChannel.us@SD,Fernandina Beach City Meeting (Fernandina Beach FL) (720p) [Not 24/7],,Legislative,no-safe-match
FGTV.us@SD,FGTV,,Legislative,no-safe-match
FilAmTVNetwork.us@HD,FilAmTV Network (1080p),,General,no-safe-match
FlowersTVUSA.us@SD,Flowers TV USA,,Culture,no-safe-match
FNX.us@SD,FNX (1080p),,Culture,no-safe-match
KVCRDT242.us@SD,FNX [Geo-blocked],,Culture,no-safe-match
KFONTV.us@SD,Fontana Community Television (720p) [Geo-blocked],,General,no-safe-match
FilmRiseForensicFiles.us@SD,Forensic Files (720p) [Geo-blocked],,Movies,no-safe-match
FCTV.us@SD,Fort Collins Cable TV (FCTV) (Fort Collins CO) (1080p),,General,no-safe-match
CityofFortPierce.us@SD,Fort Pierce Live Stream (Fort Pierce FL) (720p),,Legislative,no-safe-match
Fox.us@East,Fox (1080p) [Geo-blocked],,General,matched-but-zero-programmes
KTVU41.us@HD,FOX 2 San Francisco CA (KTVU) (720p),,General,no-safe-match
WLUKTV141.us@HD,FOX 11 Green Bay WI (WLUK) (1080p),,Undefined,no-safe-match
KCPQ131.us@HD,FOX 13 Seattle WA (KCPQ) (720p),,General,no-safe-match
KBSI231.us@HD,FOX 23 Cape Girardeau MO (KBSI-DT1) (720p) [Not 24/7],,General,no-safe-match
WFXT251.us@HD,Fox 25 Boston (WFXT-TV) (1080p) [Geo-blocked],,Undefined,no-safe-match
KOKHTV251.us@HD,FOX 25 Oklahoma City OK (KOKH) (1080p),,General,no-safe-match
KMPHTV261.us@HD,FOX 26 Visalia CA (KMPH) (1080p),,General,no-safe-match
